candidate_id,mechanism,exec_tf,pair,variant,trades,gross_expectancy,fee_drag,slippage_drag,funding_drag,net_expectancy,gross_total_R,net_total_R,win_rate,wins,losses,longs,shorts,median_net_R,avg_stop_pct,median_stop_pct,median_stop_bps,cost_per_R,pct_target,pct_stop,unresolved_at_boundary,effective_n,profit_factor,max_dd_R,t_gross,t_net,net_ci_low,net_ci_high,ca_net,cb_net,cb_seed_sd,ca_trades,cb_trades,cb_median_stop_pct,excess_vs_ca,excess_vs_cb,setups_detected,rejected_warmup,rejected_stop_invalid,rejected_no_entry_bar,rejected_outside_split,eligible_setups,skipped_stop,skipped_size,rejected_position_open,trades_entered,reconciled
M1|5m|5/20,M1,5,5/20,{},6312,-0.00522813688212928,-0.2201563492616794,-0.0746292709361625,0.0005252866300611924,-0.29948847044991,-33.000000000000014,-1890.371225479832,0.3314321926489227,2092.0,4220.0,3292.0,3020.0,-1.1674442101501254,0.7735205976046373,0.6424117009917673,64.24117009917673,0.29426033356778075,33.159062103929024,66.84093789607097,0.0,3403.2,0.653,1894.8,-0.219,-12.186,-0.3343,-0.2641,-2.9722360939394883,-0.4677785826862791,0.05855264906029654,41927,16410,0.6703501877965798,2.6727476234895784,0.16829011223636908,44167,14,0,0,17920,26233,11,0,19910,6312,True
M2|5m|5/20|s0.00,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.0}",5497,-0.007822448608331818,-0.23332357597124292,-0.07909273761737047,5.703859086104562e-05,-0.3201817236060841,-43.0,-1760.0389346626444,0.3303620156448972,1816.0,3681.0,2778.0,2719.0,-1.1744681270028516,0.74260670498364,0.6123421366699866,61.23421366699866,0.3123592749977523,33.072585046388944,66.92741495361106,0.0,3861.0,0.635,1761.22,-0.349,-13.716,-0.3564,-0.2789,-3.0158244685183275,-0.5205858492137618,0.13632536566589348,33100,15407,0.6449190943323176,2.6956427449122433,0.20040412560767773,23065,6,0,0,9421,13638,8,0,8133,5497,True
M2|5m|5/20|s0.25,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.25}",101,0.27722772277227725,-0.16424319135702226,-0.05567565808712618,-0.0019246443256226286,0.05538422900250619,28.0,5.5938071292531255,0.42574257425742573,43.0,58.0,50.0,51.0,-1.071194061459177,1.2088014642549791,0.946785578426804,94.6785578426804,0.22184349376977103,42.57425742574257,57.42574257425742,0.0,101.0,1.078,13.82,1.628,0.329,-0.2742,0.4164,-2.6936095841812064,-0.30063360908121295,0.1101929259468113,485,494,0.9448166237363536,2.748993813183713,0.3560178380837191,199,0,0,0,94,105,3,0,1,101,True
M2|5m|5/20|s0.50,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.5}",3,1.0,-0.038516411344181455,-0.013056410625146257,0.012868348679487418,0.9612955267101597,3.0,2.883886580130479,0.6666666666666666,2.0,1.0,1.0,2.0,1.9599366818477553,3.050659861343857,3.3138569672926375,331.3856967292637,0.03870447328984029,66.66666666666666,33.33333333333333,0.0,3.0,3.712,0.0,,,,,-0.3990907099538383,-0.30371393192404494,0.6909234504569923,18,14,3.324531112465303,1.360386236663998,1.2650094586342047,6,0,0,0,2,4,1,0,0,3,True
M3|5m|5/20|v1.2,M3,5,5/20,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.2, ""baseline_window"": 20}",1182,0.03553299492385786,-0.18020015748311147,-0.061084799146817456,0.0006326543788328001,-0.20511930732723826,41.999999999999986,-242.45102126079564,0.34517766497461927,408.0,774.0,620.0,562.0,-1.1192475843935106,1.0067644195941843,0.8114181106559682,81.14181106559683,0.24065230225109616,34.51776649746193,65.48223350253807,0.0,786.9,0.747,248.48,0.766,-4.05,-0.2903,-0.1219,-2.5137509197541283,-0.4960683800994362,0.2214364782281541,6552,4641,0.830526527909719,2.30863161242689,0.29094907277219795,2802,0,0,0,1146,1656,5,0,469,1182,True
M3|5m|5/20|v1.5,M3,5,5/20,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.5, ""baseline_window"": 20}",234,-0.05128205128205128,-0.13175976409683798,-0.044664326812487457,0.0022670701465387797,-0.22543907204483796,-12.0,-52.752742858492084,0.3162393162393162,74.0,160.0,123.0,111.0,-1.086073424555033,1.3773985473298003,1.0781745512808585,107.81745512808584,0.17415702076278664,31.62393162393162,68.37606837606837,0.0,176.0,0.719,58.75,-0.496,-2.266,-0.3903,-0.0551,-1.398371869959496,-0.2566773287771522,0.10324847033017823,1216,1068,1.0698686633490113,1.172932797914658,0.031238256732314257,488,0,0,0,204,284,5,0,45,234,True
M4|5m|5/20|d0.25,M4,5,5/20,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.25}",6213,0.0294543698696282,-0.33942731019551853,-0.11506010515102322,0.00044897535214094217,-0.4245840701247726,183.0,-2637.9408276852123,0.3399323998068566,2112.0,4101.0,3199.0,3014.0,-1.208248584571833,0.6008730854825902,0.4454997553665005,44.54997553665005,0.45403843999440074,34.31514566232094,65.68485433767906,0.0,4858.7,0.555,2638.49,1.465,-18.91,-0.4639,-0.3865,-0.579562233902808,-0.7678539020124583,0.09469948068489349,35549,17955,0.4753784487100405,0.15497816377803542,0.3432698318876857,20890,8,0,0,8659,12223,19,0,5991,6213,True
M4|5m|5/20|d0.5,M4,5,5/20,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.5}",6157,0.01396784148124086,-0.28841641890334296,-0.09776827759435357,0.00033381597808342626,-0.3718830390383722,85.99999999999997,-2289.683871359258,0.3347409452655514,2061.0,4096.0,3127.0,3030.0,-1.1772088263473055,0.7178289172409966,0.5486395410365617,54.86395410365616,0.3858508805196131,33.798928049374695,66.2010719506253,0.0,4254.5,0.596,2291.65,0.632,-15.373,-0.413,-0.3331,-0.8533120056714804,-0.6883587315925067,0.0726478956673655,41111,16468,0.5772521143686365,0.48142896663310814,0.3164756925541345,30365,11,0,0,12394,17960,22,0,11781,6157,True
M5|5m|5/20,M5,5,5/20,"{""regime_fast"": 20, ""regime_slow"": 50, ""regime_tf"": 60, ""regime_tf_name"": ""1h""}",6105,0.027518427518427518,-0.2487130110682833,-0.08430949527738418,-0.0005915900173532712,-0.30609566884459327,168.0,-1868.714058296242,0.34250614250614253,2091.0,4014.0,2797.0,3308.0,-1.1855086716282794,0.6937257921669351,0.5750393312078053,57.50393312078053,0.33361409636302075,34.250614250614255,65.74938574938575,0.0,3490.9,0.651,1869.75,1.095,-11.168,-0.3458,-0.2654,-2.890088440206852,-0.5853066450591093,0.0727737579826216,35994,16897,0.599279812281372,2.583992771362259,0.27921097621451607,21651,0,0,0,8824,12827,12,0,6710,6105,True
M1|5m|9/21,M1,5,9/21,{},5923,-0.008272834712139113,-0.2312117494744495,-0.07837686422862694,0.0005029306358526286,-0.31735851777936286,-48.99999999999997,-1879.7145008071664,0.33040688840114807,1957.0,3966.0,3032.0,2891.0,-1.1751976438587923,0.753859984018051,0.6123546431900798,61.23546431900798,0.3090856830672238,33.05757217626203,66.94242782373797,0.0,3693.3,0.638,1889.95,-0.357,-12.481,-0.3564,-0.2777,-3.0968557697716768,-0.5725269443889216,0.10226582805624893,41667,15666,0.6463775369603578,2.779497251992314,0.25516842660955874,32015,11,0,1,13222,18781,14,0,12844,5923,True
